cluster,frequency,monetary,recency
4,15,"252.0",3
1,10,"205.2",8
1,4,"152.2",9
1,59,"891.3",9
2,44,"1389.8",11
2,141,"2129.95",10
1,38,"659.2",9
1,8,"123.2",9
1,5,"125.8",11
1,27,"679.8",10
1,6,"628.8",11
0,223,"2290.33",11
1,15,"308.4",9
1,66,"210.81",11
4,76,"271.23",6
1,25,"1280.9",10
1,37,"632.2",9
1,87,"291.35",10
2,98,"627.83",11
2,124,"683.22",9
1,51,"917.25",11
4,4,"91.95",1
3,109,"3740.4",10
3,136,"4147.35",9
1,34,"587.4",11
4,14,"141.91",5
2,82,"1800.0",9
1,49,"777.94",9
1,38,"240.34",11
2,176,"876.16",10
4,44,"192.85",6
4,27,"239.45",4
0,341,"2093.49",11
4,33,"1383.95",5
1,26,"294.26",10
1,46,"730.9",11
2,83,"1688.9",11
4,10,"118.0",2
1,53,"780.8",7
4,24,"142.45",2
1,8,"712.2",10
3,174,"2481.29",11
1,21,"379.3",11
2,87,"1982.8",11
2,58,"1116.55",10
1,16,"248.95",11
2,128,"2036.9",8
1,26,"399.0",10
1,40,"180.17",10
4,19,"221.85",1
2,99,"693.25",10
1,23,"428.7",10
1,27,"164.8",11
1,43,"281.18",11
2,98,"678.5",10
2,226,"1132.31",11
2,201,"1611.0",11
4,23,"417.6",1
1,44,"545.0",10
4,13,"178.1",6
1,19,"213.6",8
2,81,"747.92",11
4,19,"256.6",4
3,59,"7793.6",11
3,11,"3071.0",9
2,146,"2120.68",11
2,188,"1577.63",11
2,62,"1069.4",10
2,63,"949.25",11
2,101,"810.59",10
1,8,"123.5",11
1,40,"1033.8",9
4,66,"354.76",5
1,28,"519.9",11
3,146,"2623.85",11
1,5,"252.1",8
2,79,"1678.6",11
2,96,"1834.35",11
1,6,"94.2",11
3,166,"2710.55",10
1,56,"934.45",8
4,49,"379.6",6
1,16,"383.9",11
3,108,"2639.8",11
2,104,"1569.53",5
1,53,"900.9",9
4,13,"188.8",6
1,12,"84.3",10
1,87,"305.21",7
1,9,"218.95",10
1,25,"349.1",9
4,6,"186.5",2
1,65,"397.07",11
1,25,"486.1",7
1,16,"234.2",7
1,57,"828.74",11
4,3,"59.5",6
4,30,"67.23",2
4,8,"73.0",6
1,6,"910.0",10
1,9,"171.95",10
2,53,"1490.9",11
3,90,"2503.8",11
1,12,"151.2",11
1,14,"308.4",7
3,197,"2270.66",11
4,1,"99.5",1
4,20,"330.8",2
4,48,"808.45",3
4,51,"298.34",3
1,8,"180.2",11
4,13,"253.3",5
4,10,"229.0",4
4,21,"137.85",3
2,102,"1446.35",11
4,12,"306.95",4
2,60,"1041.25",11
1,43,"799.5",8
1,28,"524.1",11
2,85,"2377.95",7
4,6,"200.0",5
2,104,"1980.8",10
1,42,"1078.6",11
1,20,"333.8",11
2,63,"1013.5",11
1,43,"753.25",7
4,38,"612.2",5
1,33,"490.3",11
3,196,"2887.17",11
4,30,"339.68",5
1,3,"216.9",11
4,23,"351.0",4
1,34,"668.9",9
0,321,"3131.55",11
2,72,"1156.35",9
4,25,"298.7",6
1,24,"1647.1",10
4,9,"296.75",2
2,76,"1185.9",8
4,35,"744.3",2
1,12,"282.6",7
1,25,"658.9",11
1,57,"286.63",10
2,70,"1073.4",10
4,7,"306.2",5
1,15,"1716.8",10
2,208,"1526.36",9
3,119,"2632.65",10
2,177,"1132.54",11
1,22,"344.05",9
1,9,"178.75",8
4,17,"127.84",4
2,115,"911.62",11
2,31,"2463.85",11
1,11,"1516.0",8
1,13,"194.8",10
1,39,"688.5",8
4,33,"557.5",2
1,23,"324.8",10
3,60,"4598.5",7
4,17,"277.7",3
3,137,"2634.4",11
1,13,"923.0",10
1,10,"256.45",10
4,36,"1138.9",2
1,59,"386.21",7
1,40,"961.6",11
2,46,"1699.9",11
4,10,"189.1",6
2,93,"412.35",10
1,15,"209.9",11
1,3,"52.2",11
1,29,"385.0",7
1,55,"835.2",11
4,19,"271.35",5
4,1,"85.0",4
1,20,"361.3",11
1,9,"313.9",10
2,101,"1538.9",10
2,93,"1594.3",8
3,81,"2651.2",9
1,23,"1089.7",10
4,14,"388.5",6
1,11,"216.5",10
4,28,"202.61",1
2,139,"2206.7",11
4,20,"306.0",4
1,30,"502.05",10
1,7,"145.7",9
2,61,"1015.85",11
0,336,"6410.8",11
1,23,"389.25",8
2,104,"1788.35",10
1,7,"123.5",10
1,3,"117.0",9
1,36,"1282.0",10
3,142,"2671.3",11
4,28,"507.7",6
1,16,"243.2",9
4,19,"350.8",5
1,40,"605.42",8
1,15,"415.8",9
1,27,"632.4",11
4,21,"821.3",2
1,27,"564.95",11
3,118,"2592.5",11
1,17,"311.0",10
4,12,"155.9",1
1,19,"388.3",11
4,43,"740.3",6
3,149,"2866.45",9
1,26,"332.3",11
2,122,"2370.75",9
3,148,"2580.8",10
1,33,"626.9",11
1,18,"271.2",10
1,30,"1211.1",10
1,20,"350.8",10
1,41,"678.05",9
1,11,"224.35",11
1,21,"350.3",9
1,27,"464.0",11
4,9,"842.5",6
1,17,"337.3",10
2,58,"1235.9",9
4,16,"307.4",2
1,23,"608.2",8
4,31,"921.95",3
4,26,"376.3",6
4,9,"159.3",6
1,7,"71.3",11
1,45,"568.6",11
1,49,"837.5",11
1,11,"560.95",9
1,5,"90.6",10
1,35,"744.75",11
4,39,"673.2",6
3,137,"3251.401",5
1,33,"322.36",7
1,12,"230.5",11
1,11,"170.25",11
1,2,"80.7",7
3,149,"2757.1",11
1,15,"190.5",9
4,11,"265.05",2
1,28,"414.2",10
0,338,"2528.41",11
4,10,"358.3",5
1,15,"198.05",11
1,54,"870.2",9
1,11,"200.7",10
1,13,"321.2",11
0,234,"4147.65",11
1,41,"1266.75",10
4,16,"311.4",5
2,84,"858.14",11
1,5,"76.8",11
3,121,"3467.85",10
2,86,"1395.2",11
4,15,"637.6",5
1,47,"531.05",7
3,171,"4579.7",10
3,84,"2871.6",11
1,30,"961.95",8
4,42,"696.1",5
4,11,"329.2",3
1,34,"471.7",8
1,39,"507.6",9
1,20,"917.0",10
2,66,"1421.3",10
1,39,"642.6",11
1,22,"631.6",7
4,28,"441.2",4
1,16,"327.35",8
1,6,"104.7",10
1,15,"467.3",10
2,89,"653.29",11
2,66,"1427.31",11
4,38,"625.7",2
2,92,"1559.1",9
1,6,"152.2",11
0,235,"3614.83",10
4,21,"141.5",3
2,209,"653.27",11
4,14,"154.3",2
4,85,"410.13",2
0,488,"5681.47",11
1,54,"745.0",11
1,56,"225.87",11
1,4,"260.8",8
1,6,"92.5",10
1,10,"725.7",8
4,8,"183.4",3
2,80,"1351.67",11
4,7,"152.55",3
1,52,"375.68",10
4,24,"266.1",1
1,13,"150.5",11
1,46,"122.56",8
1,42,"499.58",10
1,12,"376.2",8
1,4,"45.0",11
1,14,"160.5",10
4,1,"76.3",1
2,105,"442.94",11
1,21,"147.88",11
1,26,"195.15",7
3,35,"5977.15",9
1,21,"216.13",7
4,74,"1267.1",4
1,34,"598.35",11
1,9,"143.8",9
1,10,"692.5",11
3,160,"2913.85",11
4,15,"386.6",3
2,72,"1382.1",11
1,3,"90.0",7
1,5,"419.0",9
3,167,"2743.9",11
1,44,"709.8",8
1,46,"639.2",10
4,67,"484.82",1
1,28,"605.05",8
1,26,"413.9",10
1,7,"115.8",7
3,11,"3743.0",10
1,5,"483.4",9
4,3,"157.3",4
4,28,"446.5",5
1,49,"620.5",9
4,52,"1348.3",4
4,6,"119.0",3
1,48,"432.57",11
1,41,"510.4",10
4,25,"289.68",6
2,52,"2446.2",9
1,29,"1631.1",9
4,25,"122.61",3
1,52,"575.64",10
1,58,"364.01",9
1,29,"451.27",11
1,26,"134.45",11
3,149,"3224.1",10
1,42,"559.23",9
2,165,"719.86",10
1,24,"452.9",10
4,3,"197.7",1
2,65,"2055.4",11
1,42,"851.6",10
4,7,"1012.4",5
1,6,"335.3",8
1,39,"702.6",11
4,2,"185.2",5
1,24,"465.9",11
4,20,"326.6",4
1,10,"152.5",9
2,87,"2073.6",11
2,112,"2239.65",10
1,9,"1070.0",9
2,67,"1005.6",11
1,12,"169.4",10
3,193,"3435.95",10
4,41,"684.25",6
1,60,"989.95",9
2,118,"1049.96",8
2,67,"2232.7",11
3,175,"3350.6",11
2,40,"1547.05",10
4,50,"925.15",6
2,115,"2049.55",10
1,35,"1461.5",10
2,159,"776.18",11
3,79,"3146.0",9
4,8,"147.1",1
2,112,"2378.7",10
1,42,"888.9",11
4,10,"212.9",6
4,16,"280.4",4
2,108,"1694.25",5
2,75,"1474.4",8
4,20,"136.8",3
4,8,"302.3",1
3,106,"3102.95",10
1,5,"120.0",7
2,52,"1163.4",10
1,17,"334.0",7
4,55,"1518.4",6
4,29,"491.95",1
4,10,"112.2",4
1,33,"438.2",9
1,29,"560.3",10
2,64,"1116.35",9
4,8,"134.1",5
1,32,"595.55",11
2,27,"1909.75",11
0,280,"4640.2",11
4,16,"426.6",5
1,5,"165.0",10
2,62,"1304.9",11
1,3,"43.0",11
1,13,"639.9",8
4,17,"384.35",5
2,105,"1858.45",9
2,33,"2094.3",10
4,20,"310.05",4
2,87,"1610.65",10
1,8,"120.7",8
3,101,"2480.9",10
1,24,"508.6",10
4,31,"478.3",5
2,123,"1534.15",11
1,36,"603.9",8
4,8,"183.9",4
4,12,"311.9",6
0,259,"5015.0",11
1,28,"463.0",8
1,26,"864.35",11
1,15,"415.3",10
2,90,"1615.3",11
1,31,"588.55",7
4,14,"309.4",4
4,6,"134.5",5
2,129,"2183.41",10
1,21,"669.7",11
1,6,"109.1",11
1,60,"1022.0",8
4,18,"409.4",3
1,31,"133.64",11
4,18,"282.5",3
4,1,"51.0",6
1,47,"1078.0",7
4,6,"90.6",5
1,33,"701.1",9
1,41,"226.0",10
1,55,"911.6",11
2,118,"2128.8",11
1,41,"161.2",11
3,69,"3717.8",8
4,8,"155.0",1
4,4,"100.5",2
4,75,"257.86",6
4,11,"616.9",6
1,46,"347.66",10
1,56,"202.77",10
2,131,"628.66",11
2,59,"1247.95",11
1,14,"201.2",11
4,7,"142.2",2
2,140,"1774.28",11
1,45,"1042.9",10
4,5,"68.0",5
1,25,"574.7",7
1,20,"1475.0",8
1,8,"157.2",8
2,73,"2159.8",8
3,107,"2602.21",11
2,193,"1104.47",9
4,14,"1063.2",2
1,43,"769.2",10
1,14,"489.6",11
1,29,"386.3",9
1,27,"812.7",10
4,3,"264.6",5
1,1,"322.0",11
0,224,"4477.2",11
1,17,"364.5",10
4,17,"470.0",2
0,382,"2257.27",11
1,12,"1374.2",11
1,9,"89.2",9
4,9,"131.9",2
2,70,"1165.4",11
4,40,"483.96",6
2,109,"662.88",10
1,62,"264.54",11
4,22,"119.97",6
4,4,"114.0",2
2,37,"1837.6",7
1,16,"434.6",8
2,180,"2103.57",7
0,240,"2002.68",10
1,6,"530.1",9
4,130,"1059.27",4
2,90,"599.12",11
1,43,"461.55",11
1,7,"234.2",9
1,29,"548.2",10
1,42,"923.6",9
4,19,"215.05",3
1,10,"1309.6",11
1,13,"278.7",11
4,30,"638.4",6
2,144,"2069.97",11
4,9,"137.4",3
1,14,"321.4",10
1,47,"165.73",11
1,46,"1063.1",10
4,30,"464.9",5
1,7,"139.6",11
1,6,"123.8",10
4,29,"474.95",2
2,194,"814.98",11
1,7,"356.85",9
4,10,"251.1",6
2,107,"674.6",10
2,96,"1383.34",11
1,57,"277.09",11
2,68,"1313.8",11
4,23,"275.4",6
1,12,"455.65",8
2,73,"1055.46",10
2,101,"2103.17",11
1,18,"331.0",11
1,16,"173.95",10
1,17,"974.7",11
1,12,"242.0",8
1,18,"364.15",11
2,229,"620.38",10
0,216,"2925.12",11
0,330,"2868.17",10
4,19,"171.8",3
1,10,"355.6",10
1,19,"387.6",10
1,32,"536.9",11
2,76,"996.57",11
2,111,"1463.2",10
4,5,"103.3",6
1,4,"653.2",7
4,56,"289.33",2
1,48,"765.62",11
1,10,"186.7",11
1,58,"165.05",7
2,113,"862.18",11
0,216,"2379.94",11
1,21,"324.4",10
1,16,"788.1",9
2,69,"1081.25",9
1,33,"1529.6",10
4,29,"218.11",3
1,17,"139.27",11
1,6,"114.7",10
2,100,"1043.39",6
1,29,"157.24",10
4,19,"236.3",3
0,383,"1602.16",11
2,197,"1447.7",11
2,164,"570.97",11
2,152,"618.25",11
2,102,"1740.79",11
1,55,"883.21",11
1,50,"222.6",10
4,25,"394.45",2
1,7,"213.4",11
4,2,"660.0",3
1,4,"601.0",9
4,3,"406.0",4
1,16,"552.8",11
4,20,"393.9",4
4,26,"412.9",5
4,21,"320.6",6
2,134,"889.48",11
1,13,"227.2",10
3,122,"2790.25",11
1,24,"674.05",9
1,41,"1006.3",10
4,8,"114.8",3
4,20,"344.8",3
1,28,"610.3",11
1,16,"443.5",10
2,106,"2125.3",11
1,7,"110.1",11
1,2,"96.1",10
1,26,"830.6",10
1,30,"596.85",7
4,30,"243.37",5
2,102,"654.46",10
1,29,"114.16",9
4,80,"291.12",6
2,126,"848.92",11
1,30,"285.74",9
1,4,"107.95",11
2,168,"774.04",11
2,99,"637.87",11
2,90,"1833.45",10
1,14,"194.7",11
2,170,"1269.49",4
4,132,"411.71",3
4,61,"764.9",4
2,102,"605.95",11
2,42,"2545.8",11
1,7,"498.95",9
4,2,"52.0",6
1,15,"628.2",8
4,13,"112.6",5
1,50,"372.47",10
2,71,"2114.4",11
1,68,"591.05",7
4,8,"173.0",3
4,22,"189.4",5
4,8,"109.2",5
2,115,"2236.37",11
0,335,"2551.15",11
1,22,"318.4",11
0,415,"1547.16",11
4,1,"179.0",5
2,139,"605.91",11
0,357,"2869.04",11
1,25,"917.15",11
1,10,"160.55",11
2,71,"869.15",11
1,55,"329.29",10
1,29,"188.8",7
1,52,"719.7",11
4,10,"268.65",3
1,45,"380.15",10
2,54,"1313.15",10
4,89,"1448.55",5
2,69,"1217.9",8
4,18,"328.4",4
1,5,"390.0",10
1,30,"563.4",9
1,41,"638.95",10
0,235,"5007.55",11
1,38,"740.7",11
1,19,"420.6",9
2,71,"1485.45",7
4,5,"89.0",2
1,11,"255.5",10
4,21,"301.5",3
1,6,"278.6",10
1,39,"255.06",11
1,5,"192.6",11
4,52,"875.5",4
1,9,"138.95",8
3,117,"2533.9",10
1,35,"731.4",8
4,41,"386.15",3
1,27,"446.55",10
4,6,"200.1",1
1,15,"290.05",11
1,3,"77.5",11
1,6,"197.2",11
1,46,"744.5",11
1,2,"6.2",10
1,14,"229.0",11
4,6,"131.65",6
1,12,"173.2",10
1,13,"157.77",10
1,59,"193.38",10
4,44,"844.63",6
1,47,"555.0",11
1,11,"193.25",9
0,235,"2744.21",10
1,53,"778.5",11
4,4,"271.85",5
4,63,"1112.8",5
1,48,"658.75",9
1,13,"271.8",10
1,29,"507.3",11
4,70,"321.48",6
1,29,"1128.0",11
4,17,"2141.1",5
1,40,"197.79",10
2,67,"1719.0",11
1,6,"102.5",11
2,108,"1648.7",9
4,4,"62.9",3
3,145,"2822.25",10
3,130,"3194.6",10
1,13,"309.4",7
4,21,"324.75",2
1,28,"510.9",11
3,143,"2837.25",10
1,9,"475.8",11
3,127,"2762.15",9
1,20,"646.3",8
2,66,"1310.8",11
2,60,"1172.75",10
2,58,"1353.5",11
1,11,"171.1",11
1,6,"126.4",10
1,48,"840.8",11
1,11,"266.8",11
4,36,"709.5",6
4,13,"326.9",3
4,28,"519.55",5
2,47,"1465.05",8
1,47,"705.1",9
1,17,"255.6",11
1,11,"589.7",11
1,53,"762.1",11
1,15,"764.0",7
4,18,"364.8",4
1,6,"1862.0",9
4,20,"369.2",5
4,10,"136.2",1
4,7,"125.5",3
1,33,"557.0",7
2,73,"1238.0",11
1,23,"655.7",9
1,20,"332.1",11
0,355,"2811.13",11
1,17,"615.4",7
1,9,"277.4",9
1,12,"307.3",9
2,77,"1268.65",9
2,45,"1610.4",8
4,57,"977.1",5
2,78,"1315.9",11
1,44,"748.4",10
4,10,"310.25",4
1,11,"223.5",11
3,170,"5894.35",11
1,3,"100.9",11
1,14,"289.9",9
2,63,"1099.9",11
1,19,"371.3",11
1,20,"312.65",9
1,55,"290.09",11
1,85,"336.13",11
4,12,"58.45",3
1,42,"500.38",7
1,59,"695.5",10
4,5,"126.95",3
2,198,"1489.05",11
4,13,"206.4",4
2,83,"598.3",9
1,38,"191.26",11
1,6,"463.4",10
1,37,"147.74",11
2,34,"1592.11",10
2,160,"1116.38",11
1,18,"114.84",8
1,32,"1314.75",8
1,21,"114.39",11
1,11,"280.2",10
2,72,"791.51",10
2,216,"1932.58",9
4,8,"103.1",4
1,41,"213.32",11
4,40,"334.9",5
1,61,"233.31",11
1,26,"547.1",10
4,75,"429.61",6
1,77,"491.37",10
2,158,"1247.1",7
2,144,"502.17",10
1,12,"156.91",7
2,182,"1262.72",11
1,20,"307.45",11
1,35,"260.46",10
4,20,"170.01",6
1,20,"125.6",11
4,70,"266.13",3
2,135,"907.86",11
1,72,"376.95",11
1,61,"469.75",9
1,35,"1065.4",11
1,7,"518.7",9
1,27,"253.14",9
2,127,"466.67",9
4,67,"180.37",6
4,5,"136.61",5
1,3,"537.0",11
1,12,"735.7",7
3,206,"5211.29",11
4,22,"344.9",3
4,3,"121.2",3
2,78,"1782.43",11
2,143,"1394.36",11
4,30,"215.8",1
2,114,"302.41",11
4,25,"1489.5",3
0,276,"2124.35",11
2,237,"1338.44",10
4,5,"370.8",5
3,155,"3157.75",11
1,42,"893.4",10
2,82,"1743.8",9
2,104,"553.97",10
4,70,"1113.9",6
1,26,"981.55",9
1,54,"1043.5",11
1,42,"749.1",8
1,27,"772.65",9
4,49,"879.75",6
4,5,"88.3",3
4,15,"305.7",3
2,57,"1159.7",11
3,145,"2424.35",11
4,23,"380.3",2
1,30,"480.1",10
4,26,"457.7",5
1,47,"1370.4",8
1,11,"219.0",10
1,23,"411.62",9
1,35,"704.0",11
4,69,"1028.75",5
2,101,"2298.6",11
2,100,"1422.95",11
4,28,"485.0",4
1,35,"995.25",11
3,100,"3608.63",11
3,197,"2759.5",11
1,21,"339.4",11
2,45,"1352.35",11
2,79,"1553.9",11
1,1,"245.0",7
4,14,"266.7",4
1,21,"361.9",7
1,28,"457.15",10
2,82,"1634.2",8
1,15,"183.95",11
1,16,"406.3",10
2,102,"1468.8",10
3,84,"3446.65",10
4,22,"329.7",6
1,52,"977.1",11
1,29,"984.0",8
2,73,"1385.8",11
4,9,"139.1",4
4,13,"178.5",4
2,80,"2354.7",10
1,26,"499.2",10
4,14,"259.8",4
2,91,"1329.0",6
4,28,"621.3",4
1,20,"300.8",11
1,23,"520.85",7
0,343,"5320.5",11
0,271,"4745.05",11
1,22,"329.35",11
1,85,"296.38",9
1,7,"401.4",10
1,29,"304.45",11
2,103,"843.27",10
4,41,"163.0",1
1,5,"106.6",11
4,5,"1289.0",1
4,11,"135.55",1
1,23,"223.2",9
4,3,"40.5",3
2,93,"2209.6",11
1,16,"690.6",10
1,29,"623.0",7
1,63,"406.51",11
1,21,"310.9",9
1,19,"411.1",11
1,19,"499.55",10
1,10,"193.6",9
1,13,"1267.4",10
2,69,"1233.7",9
2,142,"1834.7",11
1,37,"652.55",9
1,9,"420.3",11
4,20,"330.25",4
4,5,"101.8",4
4,24,"330.4",1
1,35,"734.0",10
1,2,"96.6",9
3,166,"5755.78",11
4,9,"305.75",6
2,117,"1779.15",10
4,5,"585.0",1
4,20,"755.4",4
4,23,"410.0",4
4,8,"154.5",2
2,58,"1219.7",11
3,125,"3382.6",10
4,23,"433.9",4
1,31,"615.9",8
4,14,"197.1",3
4,15,"323.1",2
1,50,"1073.0",11
1,49,"781.2",11
2,78,"1707.45",10
2,110,"1760.85",10
1,22,"316.8",9
1,34,"631.6",10
3,89,"2513.4",7
1,6,"355.6",8
0,350,"6690.3",11
1,44,"743.5",11
1,53,"916.75",11
1,18,"301.8",8
1,47,"891.2",10
1,6,"98.1",7
4,7,"316.95",3
4,34,"623.4",6
1,19,"254.3",7
4,10,"178.8",1
1,12,"157.1",8
